88:A2:9E:9B:5E:6A,B8:27:EB:D3:40:06,D8:3A:DD:79:8E:BF,D8:3A:DD:79:8F:80,D8:3A:DD:C1:88:BD
-88.75862068965517,-94.25,-85.20001122276727,-76.47368421052632,-90.0274978119903
-93.35483870967742,-95.6,-85.20001122276727,-85.82051282051282,-98.0
-78.6701030927835,-87.6829268292683,-85.20001122276727,-85.81481481481481,-90.0274978119903
-74.88235294117646,-79.03846153846153,-67.89473684210526,-90.1,-76.85714285714286
-82.46666666666667,-73.91304347826087,-85.33333333333333,-54.5,-90.0274978119903
-84.33333333333333,-77.66666666666667,-85.20001122276727,-53.0,-90.0274978119903
-84.83333333333333,-78.57142857142857,-92.0,-92.0,-90.0274978119903
-90.0,-69.82352941176471,-87.5,-82.54216103855079,-90.0274978119903
-94.0,-97.0,-85.20001122276727,-82.5,-90.0274978119903
-92.75,-93.9090909090909,-85.20001122276727,-87.16666666666667,-88.33333333333333
-77.55102040816327,-79.859375,-85.20001122276727,-76.7741935483871,-90.0274978119903
-74.66666666666667,-87.51515151515152,-92.58333333333333,-94.0,-90.0274978119903
-93.2,-98.66666666666667,-85.20001122276727,-89.33333333333333,-102.0
-85.0,-79.75,-83.0,-82.54216103855079,-90.0274978119903
-80.72727272727273,-91.6,-85.20001122276727,-87.63157894736842,-90.0274978119903
-79.05,-87.0,-85.20001122276727,-86.4,-90.0274978119903
-90.75,-86.5,-85.20001122276727,-74.37142857142857,-89.0
-77.625,-82.88888888888889,-92.0,-93.0,-90.0274978119903
-82.16216216216216,-89.11111111111111,-85.20001122276727,-81.03703703703704,-90.0274978119903
-89.55555555555556,-89.25,-85.20001122276727,-85.26666666666667,-85.7
-75.0,-85.14285714285714,-86.5,-83.6,-90.0274978119903
-85.46666666666667,-86.88095238095238,-85.20001122276727,-88.14285714285714,-90.0274978119903
-95.0,-92.0,-85.20001122276727,-83.33333333333333,-90.0274978119903
-92.75,-90.0909090909091,-98.0,-90.4,-90.0274978119903
-92.44444444444444,-93.0,-85.20001122276727,-85.38709677419355,-90.0274978119903
-88.0,-80.1,-87.5,-91.5,-90.0274978119903
-87.0,-95.0,-85.20001122276727,-83.0,-90.0274978119903
-82.08888888888889,-88.27777777777777,-85.20001122276727,-78.8913043478261,-90.0274978119903
-85.06451612903226,-91.75,-85.20001122276727,-82.88461538461539,-90.0274978119903
-89.0,-76.23076923076923,-85.0,-82.54216103855079,-90.0274978119903
-93.0,-91.5,-85.20001122276727,-85.13333333333334,-90.0274978119903
-84.08247422680412,-90.2,-85.20001122276727,-57.42583732057416,-86.66666666666667
-83.75,-88.0,-85.20001122276727,-88.52380952380952,-90.0274978119903
-78.12857142857143,-78.88888888888889,-85.20001122276727,-74.05405405405405,-88.0
-88.22222222222223,-82.75,-85.20001122276727,-88.75,-90.0274978119903
-91.0,-84.5,-91.0,-91.0,-90.0274978119903
-78.39393939393939,-85.38775510204081,-91.16666666666667,-83.86666666666666,-90.0274978119903
-91.41509433962264,-86.47457627118644,-85.20001122276727,-89.14814814814815,-90.0274978119903
-94.41666666666667,-94.25,-85.20001122276727,-85.28571428571429,-97.75
-82.72727272727273,-81.0952380952381,-85.8,-75.1304347826087,-90.0274978119903
-90.3125,-84.05263157894737,-85.20001122276727,-90.0,-90.0274978119903
-79.0625,-91.0,-85.20001122276727,-87.0,-90.0274978119903
-94.88888888888889,-96.25,-85.20001122276727,-90.3529411764706,-92.92857142857143
-75.66666666666667,-91.8,-85.20001122276727,-84.75510204081633,-93.6
-86.88801091462034,-85.86538461538461,-84.225,-99.0,-90.0274978119903
-92.0,-79.78571428571429,-73.21428571428571,-82.54216103855079,-90.0274978119903
-91.57142857142857,-89.33333333333333,-85.20001122276727,-76.71428571428571,-86.0
-84.0,-73.6923076923077,-85.20001122276727,-86.0,-90.0274978119903
-95.0,-72.07692307692308,-92.0,-82.54216103855079,-90.0274978119903
-75.3,-81.66666666666667,-85.20001122276727,-74.20454545454545,-90.0274978119903
-80.46341463414635,-78.53846153846153,-73.0,-76.92307692307692,-86.5
-91.6,-88.625,-85.20001122276727,-87.33333333333333,-90.0274978119903
-90.0,-78.2439024390244,-73.86842105263158,-82.54216103855079,-90.0274978119903
-86.25925925925925,-91.29166666666667,-85.20001122276727,-72.45161290322581,-90.0274978119903
-85.66666666666667,-89.0,-85.20001122276727,-78.08571428571429,-89.0
-91.0,-92.55555555555556,-85.20001122276727,-87.125,-86.5
-80.17333333333333,-79.52941176470588,-85.66666666666667,-85.4074074074074,-90.0274978119903
-79.64583333333333,-77.5,-85.20001122276727,-54.46376811594203,-88.5
-93.0,-93.0,-85.20001122276727,-86.88888888888889,-86.0
-66.06024096385542,-86.24489795918367,-85.20001122276727,-79.91379310344827,-90.0274978119903
-87.4,-83.5,-85.20001122276727,-81.38461538461539,-91.0
-87.22,-90.46666666666667,-85.20001122276727,-67.28,-90.0
-83.92592592592592,-89.0,-85.20001122276727,-74.26086956521739,-90.0274978119903
-95.11111111111111,-93.4,-85.20001122276727,-85.3103448275862,-90.0274978119903
-74.96666666666667,-81.23076923076923,-64.47368421052632,-86.14285714285714,-88.78571428571429
-97.8,-97.0,-85.20001122276727,-85.21428571428571,-98.0
-85.95652173913044,-87.04166666666667,-85.20001122276727,-81.08333333333333,-90.0274978119903
-82.53333333333333,-86.8,-85.20001122276727,-91.0,-90.0274978119903
-87.7,-89.66666666666667,-85.20001122276727,-66.19354838709677,-90.0274978119903
-80.88888888888889,-94.0,-85.20001122276727,-89.75,-90.0274978119903
-84.64545454545454,-88.88235294117646,-85.20001122276727,-58.31475409836066,-90.75
-99.0,-86.7184235007365,-85.20001122276727,-87.5,-92.2
-82.86666666666666,-87.57894736842105,-85.20001122276727,-83.08333333333333,-90.0274978119903
-80.4,-88.5,-85.20001122276727,-88.0,-90.0274978119903
-91.4,-86.83333333333333,-85.20001122276727,-89.0,-90.0274978119903
-92.0,-86.7184235007365,-85.20001122276727,-90.0,-88.63157894736842
-89.42857142857143,-86.83333333333333,-85.20001122276727,-90.4,-90.0274978119903
-79.25806451612904,-90.11764705882354,-85.20001122276727,-85.05555555555556,-90.0274978119903
-86.88801091462034,-97.0,-85.20001122276727,-86.2,-94.8
-90.66666666666667,-75.875,-88.0,-82.54216103855079,-90.0274978119903
-89.0,-82.36666666666666,-92.0,-82.54216103855079,-90.0274978119903
-91.0,-82.9090909090909,-85.20001122276727,-79.05128205128206,-87.875
-91.0,-89.5,-85.20001122276727,-87.7,-90.0274978119903
-86.88801091462034,-92.25,-93.0,-87.0,-90.0274978119903
-82.0,-85.0,-85.20001122276727,-75.0,-90.0274978119903
-91.0,-83.22222222222223,-91.0,-82.54216103855079,-90.0274978119903
-73.78571428571429,-79.625,-78.0,-78.0,-90.0274978119903
-84.72222222222223,-76.48809523809524,-85.72727272727273,-91.95,-90.0274978119903
-96.0,-91.5,-85.20001122276727,-89.8,-86.0
-91.66666666666667,-86.7184235007365,-85.20001122276727,-51.714285714285715,-91.66666666666667
-87.23529411764706,-68.92307692307692,-84.66666666666667,-78.96666666666667,-97.0
-87.66666666666667,-93.0,-85.20001122276727,-91.0,-90.0274978119903
-87.83333333333333,-93.0,-85.20001122276727,-90.4,-90.0274978119903
-91.5,-89.73684210526316,-85.20001122276727,-79.76666666666667,-90.0274978119903
-82.92,-88.07142857142857,-85.20001122276727,-76.9090909090909,-86.5
-77.72222222222223,-86.33333333333333,-85.20001122276727,-76.67857142857143,-90.0274978119903
-82.83333333333333,-85.01886792452831,-76.65217391304348,-79.19642857142857,-83.3157894736842
-91.0,-82.96,-88.5,-94.66666666666667,-90.0274978119903
-85.3030303030303,-78.28,-69.4375,-81.63333333333334,-99.0
-89.6,-83.625,-85.20001122276727,-78.11111111111111,-90.0274978119903
-88.61538461538461,-91.47058823529412,-85.20001122276727,-83.3125,-90.0274978119903
-86.88801091462034,-88.0,-94.53846153846153,-97.0,-90.0274978119903
-96.36363636363636,-93.375,-85.20001122276727,-88.04347826086956,-95.77777777777777
-97.0,-88.66666666666667,-85.20001122276727,-88.0,-90.0274978119903
